,customer_id,age,annual_income,credit_score,employment-type,education__level,marital_status,city,customer_segment,loan_type,loan_amount_(inr),tenure_months,monthly_visits,debt_to_income,loan_approved?,valid_age
51,CUST100839,21.0,958482.0,673.0,Business,Graduate,Single,Kolkata,Affluent,Business,904541.0,24,3.0,True,Yes,True
52,CUST101032,29.0,482933.0,712.0,Business,Postgraduate,Single,Bengaluru,Affluent,Home,450000.0,84,5.0,True,Yes,True
53,CUST100400,35.0,720000.0,818.0,Self-Employed,12Th,Married,Hyderabad,Mass,Home,869924.0,72,2.0,True,No,True
54,CUST101136,23.0,466307.0,547.0,Business,Postgraduate,Married,Jaipur,Affluent,Education,123020.0,36,3.0,True,Yes,True
55,CUST100721,27.0,472459.0,817.0,Contract,Diploma,Married,Mumbai,Premium,Auto,,72,1.0,True,No,True
56,CUST100052,30.0,1248126.0,647.0,Self-Employed,Graduate,Single,Bengaluru,Premium,Education,203649.0,36,6.0,True,Yes,True
57,CUST100276,43.0,769913.0,852.0,Salaried,Diploma,Married,Bengaluru,Affluent,Home,363928.0,120,10.0,True,No,True
58,CUST100345,63.0,477076.0,785.0,Salaried,Graduate, MARRIED ,Chennai,Sme,Education,1575763.0,24,8.0,True,No,True
59,CUST100725,57.0,606581.0,707.0,,Graduate,Married,Chennai,Premium,Personal,200810.0,24,,True,Yes,True
60,CUST100304,63.0,873682.0,603.0,Salaried,Postgraduate,Single,Chennai,Mass,Auto,200295.0,60,,True,Yes,True
61,CUST100757,55.0,1777657.0,666.0,Contract,Postgraduate,Single,Hyderabad,Premium,Education,900253.0,72,3.0,True,Yes,True
62,CUST100024,64.0,266201.0,773.0,Business,Post Graduate,Single,Jaipur,Mass,Home,284014.0,72,5.0,True,Yes,True
63,CUST100592,63.0,956390.0,692.0,Business,12Th,Married,Mumbai,Mass,Business,713316.0,84,5.0,True,Yes,True
64,CUST100889,21.0,585510.0,635.0,Self-Employed,,Married,Hyderabad,Mass,Personal,340446.0,24,6.0,True,No,True
65,CUST100465,21.0,646689.0,623.0,,12Th,Married,Jaipur,Sme,Home,188920.0,24,5.0,True,Yes,True
66,CUST101098,56.0,1017027.0,673.0,Business,Graduate,Married,Hyderabad,Affluent,Education,150841.0,36,4.0,True,Yes,True
67,CUST101135,49.0,816506.0,694.0,Contract,Graduate,Single,,Sme,Home,,60,8.0,True,Yes,True
68,CUST100454,22.0,402624.0,745.0,Business,Graduate,Married,Bengaluru,Affluent,Personal,564754.0,48,5.0,True,No,True
69,CUST100169,36.0,195617.0,785.0,Contract,Graduate,Single,Delhi,Mass,Education,548218.0,84,2.0,True,Yes,True
70,CUST100859,52.0,224564.0,637.0,Self-Employed,Postgraduate,Married,Kolkata,Mass,Education,311261.0,72,7.0,True,No,True
71,CUST100755,47.0,593126.0,722.0,Self-Employed,Graduate,Single,Chennai,Premium,Home,240992.0,60,3.0,True,Yes,True
72,CUST101166,25.0,738784.0,741.0,Business,Graduate,Married,Chennai,Mass,Personal,487324.0,12,4.0,True,No,True
73,CUST100362,62.0,604483.0,,Self-Employed,12Th,Married,Pune,Affluent,Business,382571.0,72,,True,Yes,True
74,CUST100238,41.0,1907548.0,678.0,Business,Graduate,Single,Mumbai,Mass,Business,242378.0,72,0.0,False,Yes,True
75,CUST101266,22.0,565569.0,782.0,Self-Employed,Diploma,Married,Kolkata,Mass,Auto,452295.0,84,7.0,True,Yes,True
77,CUST100439,24.0,200448.0,704.0,Self-Employed,Graduate,Single,Pune,Mass,Personal,133356.0,12,8.0,True,Yes,True
78,CUST101393,67.0,1006633.0,679.0,Contract,Postgraduate,Married,Mumbai,Mass,Education,161239.0,24,7.0,True,Yes,True
79,CUST100100,27.0,376172.0,698.0,Contract,12Th,Married,Kolkata,Mass,Education,722975.0,24,5.0,True,Yes,True
80,CUST101371,62.0,713814.0,712.0,Salaried,12Th,Single,Bengaluru,Affluent,Home,468593.0,72,9.0,True,Yes,True
81,CUST100830,22.0,785890.0,803.0,Salaried,Graduate,Married,Bengaluru,Affluent,Education,594864.0,84,3.0,True,Yes,True
82,CUST100608,45.0,303172.0,834.0,Self-Employed,Postgraduate,Single,Mumbai,Mass,Home,,36,5.0,True,Yes,True
83,CUST100068,38.0,589676.0,856.0,Business,Graduate,Single,Chennai,Affluent,Auto,162497.0,72,5.0,True,pending,True
84,CUST101115,30.0,858108.0,,Contract,12Th,Married,Jaipur,Mass,Auto,708169.0,72,5.0,True,No,True
85,CUST100248,40.0,455192.0,797.0,Business,12Th,Married,Jaipur,Premium,Personal,,36,4.0,True,Yes,True
86,CUST100136,35.0,654378.0,579.0,Contract,Diploma,Single,Pune,Mass,Home,717035.0,72,7.0,True,Yes,True
87,CUST101233,66.0,277079.0,835.0,Salaried,Postgraduate,Single,Bengaluru,Mass,Auto,557312.0,24,9.0,True,No,True
88,CUST100652,51.0,967727.0,673.0,Self-Employed,Graduate,Married,,Mass,Auto,,24,6.0,True,Yes,True
89,CUST100844,22.0,374838.0,726.0,Business,Diploma,Single,Jaipur,Mass,Personal,205859.0,72,11.0,True,No,True
90,CUST101373,42.0,692475.0,827.0,Business,Graduate,Married,Chennai,Mass,Education,,60,0.0,True,No,True
91,CUST100395,54.0,682626.0,600.0,Self-Employed,Diploma,Single,Jaipur,Affluent,Education,290225.0,12,,True,Yes,True
92,CUST100124,43.0,621533.0,703.0,Business,Other,Single,Delhi,Mass,Personal,266448.0,12,4.0,True,Yes,True
93,CUST101331,42.0,939238.0,,Self-Employed,Graduate,Single,Chennai,Premium,Personal,69451.0,60,6.0,True,Yes,True
94,CUST100817,23.0,931317.0,724.0,Salaried,Postgraduate,Single,Bengaluru,Mass,Home,274209.0,24,7.0,True,No,True
95,CUST100426,30.0,905260.0,705.0,Business,Graduate,Married,Delhi,Unknown,Education,191785.0,36,6.0,True,Yes,True
96,CUST101221,51.0,352537.0,838.0,Contract,Postgraduate,Married,Mumbai,Mass,Education,656093.0,48,10.0,True,Yes,True
97,CUST100644,43.0,983121.0,905.0,Contract,Graduate,Single,Jaipur,Mass,Personal,463446.0,120,4.0,True,Yes,True
98,CUST100768,43.0,650000.0,813.0,Salaried,Graduate,Married,Bengaluru,Affluent,Business,608964.0,60,5.0,True,Yes,True
99,CUST100661,29.0,1170831.0,734.0,Salaried,Graduate,Married,Chennai,Mass,Auto,1193415.0,120,5.0,True,Yes,True
100,CUST101150,,100.0,723.0,Self-Employed,12Th,Married,,Mass,Education,454937.0,48,5.0,True,Yes,False
101,CUST101264,59.0,575928.0,796.0,,Diploma,Single,Mumbai,Mass,Business,650311.0,12,,True,No,True
102,CUST100240,50.0,790630.0,596.0,Business,Graduate,Married,Mumbai,Affluent,Education,538275.0,84,9.0,True,Yes,True
103,CUST101403,35.0,,660.0,Self-Employed,Graduate,Married,Delhi,Affluent,Home,,36,4.0,True,No,True
104,CUST100414,27.0,1261671.0,,Salaried,Postgraduate,Married,Chennai,Premium,Personal,508975.0,24,,True,Yes,True
105,CUST101409,21.0,796057.0,791.0,Contract,Graduate,Single,Hyderabad,Affluent,Auto,345847.0,48,4.0,True,Yes,True
106,CUST100968,35.0,732151.0,670.0,Salaried,Graduate,Single,Bengaluru,Affluent,Home,381057.0,120,6.0,True,Yes,True
107,CUST101108,,1373619.0,719.0,Salaried,Graduate,Divorced,Chennai,Premium,Business,645003.0,36,4.0,True,No,False
108,CUST100535,,458878.0,782.0,Salaried,Diploma,Married,Mumbai,Mass,Auto,549385.0,36,7.0,True,No,False
109,CUST101328,24.0,825489.0,780.0,Unknown,Postgraduate,Single,Chennai,Affluent,Home,592930.0,36,4.0,True,Yes,True
110,CUST100030,41.0,423380.0,787.0,Business,Postgraduate,Married,Jaipur,Premium,Business,1266643.0,36,3.0,True,Yes,True
111,CUST101034,35.0,495450.0,775.0,Salaried,Postgraduate,Married,Pune,Mass,Auto,250114.0,72,3.0,True,Yes,True
112,CUST100343,50.0,522104.0,,Business,12Th,Married,Jaipur,Affluent,Personal,1115775.0,84,3.0,True,Yes,True
113,CUST101055,,1112464.0,120.0,Salaried,Diploma,Married,Kolkata,Mass,Auto,427759.0,84,3.0,True,No,False
114,CUST101491,33.0,949904.0,744.0,Salaried,Graduate,Single,Jaipur,Mass,Home,371134.0,24,4.0,True,Yes,True
115,CUST100066,36.0,732446.0,738.0,Self-Employed,Postgraduate,Married,Pune,Mass,Business,813675.0,36,7.0,True,Yes,True
116,CUST101145,36.0,747039.0,745.0,Salaried,Graduate,Single,Jaipur,Mass,Auto,1127779.0,24,3.0,True,Yes,True
117,CUST100890,33.0,540637.0,665.0,Salaried,12Th,Married,Jaipur,Affluent,Business,233375.0,84,4.0,True,No,True
118,CUST101179,33.0,523735.0,600.0,Business,Other,Married,Jaipur,Mass,Personal,573771.0,120,7.0,True,Yes,True
119,CUST101095,36.0,,782.0,Self-Employed,Postgraduate,Married,Bengaluru,Affluent,Home,225725.0,60,5.0,True,Yes,True
120,CUST101178,30.0,807886.0,699.0,Self-Employed,Graduate,Married,Mumbai,Affluent,Auto,784012.0,12,9.0,True,Yes,True
121,CUST100142,31.0,325274.0,653.0,Contract,Postgraduate,Married,Jaipur,Mass,Business,384748.0,12,6.0,True,No,True
122,CUST100655,46.0,642463.0,722.0,Salaried,Graduate,Married,Hyderabad,Mass,Home,233700.0,48,5.0,True,Yes,True
123,CUST101109,65.0,426853.0,999.0,Contract,Diploma,Married,Delhi,Affluent,Personal,259649.0,12,10.0,True,Yes,True
124,CUST101432,29.0,923424.0,731.0,Contract,Other,Single,Jaipur,Affluent,Personal,137734.0,36,5.0,True,Yes,True
125,CUST100728,25.0,1345961.0,741.0,Contract,Graduate,Single ,Delhi,Affluent,Auto,226098.0,48,2.0,True,Yes,True
127,CUST100406,44.0,570948.0,705.0,Business,Postgraduate,Married,Mumbai,Premium,Home,246164.0,120,5.0,True,No,True
128,CUST101044,38.0,391325.0,815.0,Contract,Postgraduate,Single,Jaipur,Premium,Home,713047.0,84,9.0,True,Yes,True
129,CUST101201,62.0,,715.0,Self-Employed,Postgraduate,Married,Delhi,Mass,Auto,508715.0,72,4.0,True,No,True
130,CUST100630,38.0,616823.0,776.0,Contract,Graduate,Divorced,Hyderabad,Mass,Home,386738.0,72,5.0,False,Yes,True
131,CUST101143,64.0,1280465.0,728.0,Business,Graduate,Married,Bengaluru,Mass,Personal,384273.0,72,2.0,True,No,True
132,CUST101048,49.0,,713.0,Salaried,Postgraduate,Single,Bengaluru,Affluent,Auto,301697.0,48,7.0,True,Yes,True
133,CUST100932,53.0,1197458.0,659.0,Contract,Graduate,Single,Jaipur,Premium,Education,333480.0,36,7.0,True,Yes,True
134,CUST101014,35.0,325324.0,769.0,Contract,Graduate,Married,Kolkata,Affluent,Business,361335.0,72,4.0,True,Yes,True
135,CUST100045,24.0,765518.0,745.0,Business,12Th,Single,Kolkata,Premium,Education,423967.0,12,3.0,True,No,True
136,CUST101281,55.0,523238.0,700.0,Self-Employed,Postgraduate,Married,Kolkata,Affluent,Business,259401.0,12,5.0,True,Yes,True
137,CUST100271,,987167.0,766.0,Salaried,Graduate,Married,Mumbai,Mass,Auto,1220256.0,72,6.0,True,Yes,False
138,CUST100887,23.0,829523.0,762.0,Self-Employed,Diploma,Married,Jaipur,Mass,Personal,479320.0,12,3.0,True,Yes,True
139,CUST100966,48.0,883839.0,630.0,Business,Postgraduate,Single,Kolkata,Premium,Personal,558029.0,48,7.0,True,Yes,True
140,CUST100116,47.0,423133.0,720.0,Contract,Graduate,Married,Pune,Affluent,Personal,673687.0,120,5.0,True,Yes,True
141,CUST101125,60.0,346551.0,624.0,Business,Graduate,Married,Chennai,Mass,Personal,414208.0,24,5.0,True,Yes,True
142,CUST101008,44.0,504174.0,711.0,Business,12Th,Single,,Mass,Personal,139598.0,48,3.0,True,Yes,True
143,CUST101478,105.0,654405.0,705.0,Self-Employed,Other,Single,Pune,Affluent,Business,307579.0,12,9.0,True,Yes,True
144,CUST100530,64.0,,761.0,Business,Diploma,Single,,Affluent,Business,1182185.0,120,7.0,True,Yes,True
145,CUST100434,27.0,496439.0,664.0,Contract,Graduate,Single,Jaipur,Mass,Business,221024.0,120,5.0,True,Yes,True
146,CUST100417,66.0,669540.0,695.0,Self-Employed,12Th,Married,Chennai,Premium,Business,215925.0,120,4.0,True,No,True
147,CUST100584,23.0,933390.0,654.0,Business,Postgraduate,Single,Bengaluru,Premium,Personal,305036.0,48,8.0,True,Yes,True
148,CUST100079,47.0,1063557.0,684.0,Self-Employed,Graduate,Single,Delhi,Mass,Business,,12,9.0,True,No,True
149,CUST101238,26.0,364920.0,657.0,Self-Employed,Diploma,Married,Jaipur,Affluent,Auto,1161362.0,72,4.0,True,Yes,True
150,CUST101417,50.0,732498.0,699.0,Salaried,Other,Married,Mumbai,Mass,Auto,1203320.0,60,7.0,False,Yes,True
151,CUST101053,44.0,349048.0,704.0,Contract,Diploma,Single,Delhi,Mass,Education,386534.0,60,8.0,True,No,True
152,CUST101085,30.0,679463.0,,Self-Employed,12Th,Married,Bengaluru,Unknown,Home,,72,5.0,True,Yes,True
153,CUST100462,27.0,979676.0,701.0,Contract,Postgraduate,Single,Kolkata,Affluent,Education,500606.0,48,6.0,True,No,True
154,CUST101047,32.0,50.0,545.0,Contract,12Th,Single,Mumbai,Affluent,Education,125019.0,84,7.0,True,Yes,True
155,CUST100016,57.0,701254.0,650.0,Self-Employed,Graduate,Single,Chennai,Mass,Business,,48,7.0,True,Yes,True
156,CUST100583,26.0,872901.0,769.0,Self-Employed,12Th,Married,Pune,Mass,Business,916271.0,60,4.0,True,Yes,True
157,CUST101362,24.0,782709.0,842.0,Salaried,12Th,Married,,Premium,Personal,120000000.0,48,6.0,False,No,True
158,CUST100176,42.0,1075623.0,643.0,Contract,Graduate,Married,Delhi,Premium,Auto,1107031.0,84,4.0,True,Yes,True
159,CUST100994,41.0,615633.0,651.0,Self-Employed,Graduate,Divorced,Hyderabad,Premium,Auto,353871.0,72,4.0,True,No,True
160,CUST101479,31.0,586223.0,649.0,Business,12Th,married,Kolkata,High Value,Home,148740.0,36,5.0,True,Yes,True
161,CUST101390,63.0,719415.0,713.0,Self-Employed,Graduate,Married,Bengaluru,Affluent,Personal,220156.0,84,3.0,True,Yes,True
162,CUST101269,5.0,441402.0,721.0,Self-Employed,Graduate,Single,Jaipur,Affluent,Auto,598443.0,48,4.0,True,Yes,True
163,CUST100544,29.0,524443.0,770.0,Salaried,Postgraduate,Single,Kolkata,Mass,Education,,120,6.0,True,Yes,True
164,CUST100367,43.0,332247.0,720.0,,Post Graduate,married,Mumbai,Mass,Home,429047.0,72,3.0,True,No,True
165,CUST101174,29.0,230922.0,,Business,Graduate,Single,Chennai,Sme,Auto,219026.0,120,3.0,True,No,True
166,CUST100204,53.0,494070.0,688.0,Business,Postgraduate,Married,Bengaluru,Mass,Home,470904.0,24,5.0,True,Yes,True
167,CUST100782,50.0,481624.0,758.0,Contract,12Th,Divorced,Pune,Affluent,Unknown,316929.0,60,4.0,True,Yes,True
168,CUST101097,60.0,894140.0,705.0,Salaried,Graduate,Married,Pune,Affluent,Auto,475217.0,60,8.0,True,Yes,True
169,CUST100987,49.0,522864.0,745.0,Contract,Postgraduate,Single,Jaipur,Mass,Business,939601.0,48,8.0,True,Yes,True
170,CUST101030,36.0,997790.0,727.0,Business,Postgraduate,Married,Mumbai,Mass,Auto,184445.0,36,5.0,True,Yes,True
171,CUST100813,53.0,1041152.0,639.0,Self-Employed,Graduate,Married,Jaipur,Premium,Personal,580697.0,120,6.0,True,No,True
172,CUST100917,46.0,278569.0,793.0,Business,Graduate,Divorced,Mumbai,Affluent,Education,,120,6.0,True,No,True
173,CUST101043,40.0,480359.0,,Self-Employed,Postgraduate,Single,Mumbai,Mass,Auto,688734.0,120,4.0,True,pending,True
174,CUST100185,44.0,482178.0,661.0,Business,Graduate,Single,Hyderabad,Sme,Home,402043.0,24,7.0,True,Yes,True
175,CUST101435,36.0,723887.0,754.0,,Diploma,Divorced,Jaipur,Mass,Home,156463.0,12,7.0,True,No,True
176,CUST100483,32.0,795270.0,,Self-Employed,Diploma,Married,Hyderabad,Premium,Business,201546.0,36,8.0,True,Yes,True
177,CUST100057,46.0,384562.0,636.0,Salaried,Postgraduate,Divorced,Jaipur,Mass,Auto,445330.0,36,3.0,False,Yes,True
178,CUST100999,66.0,869564.0,854.0,Self-Employed,12Th,Married,Hyderabad,Affluent,Personal,623296.0,84,3.0,True,approved,True
179,CUST101197,54.0,483605.0,722.0,Contract,Diploma,Married,Chennai,Mass,Personal,722803.0,24,7.0,True,No,True
180,CUST100421,64.0,1483255.0,751.0,Contract,Post Graduate,Married,Hyderabad,Mass,Auto,2033263.0,72,3.0,True,Yes,True
181,CUST100044,37.0,,703.0,Contract,Postgraduate,Married,Hyderabad,Premium,Auto,102753.0,36,6.0,True,Yes,True
182,CUST100951,25.0,622721.0,781.0,Salaried,Graduate,Single,Bengaluru,Premium,Education,955024.0,120,5.0,True,Yes,True
183,CUST100440,39.0,329140.0,743.0,Business,Graduate,Married,Bengaluru,Affluent,Business,431920.0,48,4.0,True,No,True
184,CUST100692,,1895511.0,832.0,Self-Employed,Graduate,Married,Jaipur,Sme,Personal,518143.0,48,2.0,True,No,False
185,CUST100599,50.0,318667.0,762.0,Contract,Graduate,Single,Chennai,Mass,Education,572941.0,24,4.0,True,Yes,True
186,CUST100102,30.0,1296087.0,793.0,Self-Employed,Postgraduate,Single,Hyderabad,Premium,Education,412917.0,48,8.0,True,No,True
187,CUST100412,31.0,572892.0,654.0,Contract,Graduate,Divorced,Chennai,Affluent,Personal,265573.0,24,3.0,True,Yes,True
188,CUST101122,24.0,653437.0,762.0,Business,Diploma,Married,Chennai,Affluent,Auto,437318.0,36,,True,Yes,True
189,CUST100108,52.0,614322.0,806.0,Self-Employed,Postgraduate,Married,Kolkata,Mass,Personal,663318.0,84,4.0,True,Yes,True
190,CUST101118,48.0,574094.0,745.0,Salaried,Postgraduate,Single,Jaipur,Affluent,Home,136116.0,12,0.0,True,Yes,True
191,CUST101229,28.0,427857.0,682.0,Business,Diploma,Married,Delhi,Mass,Education,867324.0,120,3.0,True,No,True
192,CUST100221,26.0,719492.0,719.0,Contract,Graduate,Married,Pune,Affluent,Home,113131.0,36,9.0,True,Yes,True
193,CUST101305,49.0,342717.0,658.0,Business,Graduate,Married,Chennai,Affluent,Education,545281.0,72,4.0,True,Yes,True
194,CUST101033,55.0,474335.0,628.0,,Postgraduate,Single,Chennai,Mass,Business,554267.0,60,2.0,True,No,True
195,CUST100825,50.0,1250902.0,727.0,,Diploma,Married,Pune,Affluent,Personal,374486.0,60,5.0,True,Yes,True
196,CUST100662,55.0,164151.0,770.0,Contract,Graduate,Married,Bengaluru,Premium,Education,1323107.0,24,3.0,True,Yes,True
197,CUST101406,28.0,713156.0,840.0,Self-Employed,Postgraduate,Single,Hyderabad,Premium,Education,129461.0,84,,True,No,True
198,CUST100129,48.0,462888.0,808.0,Contract,Graduate,Married,Chennai,Premium,Home Loan,1372192.0,60,,True,Yes,True
199,CUST100333,35.0,685126.0,,Business,Other,Single,Mumbai,Mass,Auto,,72,3.0,True,Yes,True
200,CUST100298,41.0,569936.0,804.0,Business,Graduate,Single,Mumbai,Affluent,Auto,381792.0,60,12.0,True,Yes,True
201,CUST101467,50.0,100.0,640.0,Contract,12Th,Single,Jaipur,Affluent,Auto,1030464.0,120,4.0,True,Yes,True
202,CUST100708,47.0,,732.0,Business,Graduate,Single,Jaipur,Sme,Personal,927815.0,60,10.0,True,Yes,True
203,CUST100366,45.0,534308.0,777.0,Contract,Graduate,Married,Pune,Sme,Home,450000.0,120,9.0,True,No,True
204,CUST100245,50.0,638984.0,671.0,Salaried,Graduate,Married,Mumbai,Affluent,Auto,314036.0,84,2.0,True,Yes,True
205,CUST100814,34.0,371614.0,737.0,Salaried,Graduate,Married,Delhi,Affluent,Auto,259227.0,72,4.0,True,Yes,True
206,CUST100665,49.0,280329.0,715.0,Salaried,Postgraduate,Single,Pune,Mass,Business,465753.0,120,7.0,True,Yes,True
207,CUST100850,49.0,303434.0,663.0,Salaried,Graduate,Married,Jaipur,Affluent,Education,248237.0,12,4.0,True,Yes,True
208,CUST100616,51.0,1586888.0,708.0,Contract,12Th,Married,Delhi,Mass,Personal,461215.0,84,,True,Yes,True
209,CUST100603,55.0,643096.0,757.0,Business,Graduate,Married,Delhi,Mass,Auto,205066.0,24,5.0,True,Yes,True
210,CUST100232,61.0,807402.0,690.0,Self-Employed,Graduate,Single,Jaipur,Mass,Auto,391285.0,24,6.0,True,Yes,True
211,CUST100033,25.0,399311.0,,Business,12Th,Married,Bengaluru,Affluent,Education,285506.0,84,7.0,True,Yes,True
212,CUST100975,27.0,356889.0,708.0,Business,12Th,Single,Pune,Sme,Business,640753.0,24,,True,No,True
213,CUST100498,38.0,220760.0,725.0,Contract,12Th,Single,Delhi,Premium,Personal,525934.0,12,5.0,True,Yes,True
