Price,Rating,Brand,Ram(GB),Ssd_Storage(GB),Color,Processor
54058.0,4.6,Lenovo,8,512,Grey,Intel
24990.0,3.7,ASUS,4,64,Blue,MediaTek
58990.0,4.3,HP,16,512,sky-blue,Intel
58990.0,4.1,ASUS,8,512,Silver,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
342490.0,4.6,Apple,24,2048,Silver,Intel
64390.0,3.8,Acer,15,512,Silver,Intel
24990.0,3.7,ASUS,4,64,Blue,MediaTek
87990.0,4.2,Lenovo,24,1024,Grey,Intel
73990.0,4.8,Apple,8,256,Indigo,Intel
54990.0,4.4,Lenovo,8,512,Grey,AMD
25640.0,5.0,MaxBook,8,256,sky-blue,Intel
68490.0,3.9,Lenovo,16,512,Grey,AMD
73990.0,4.7,Apple,8,256,Silver,Intel
42999.0,3.2,HP,8,512,Black,Intel
85990.0,3.3,HP,24,1024,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
87990.0,4.1,DELL,16,512,Silver,Intel
68699.0,3.0,HP,16,512,Silver,Intel
47990.0,3.8,Acer,8,512,Silver,AMD
67999.0,4.2,Lenovo,16,512,Grey,AMD
84990.0,4.0,HP,16,1024,Silver,Snapdragon
39890.0,3.3,Acer,12,512,Silver,Intel
48990.0,3.5,ASUS,8,512,Silver,AMD
56690.0,3.6,Lenovo,16,512,Grey,AMD
53490.0,4.101663201663202,Lenovo,5,512,Grey,AMD
31990.0,4.3,Primebook,8,721,Gray,MediaTek
69990.0,3.2,HP,16,512,Silver,Snapdragon
64390.0,3.8,Acer,15,512,Silver,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
31990.0,4.3,Primebook,8,721,Gray,MediaTek
77990.0,3.0,HP,16,512,Silver,Intel
73990.0,4.8,Apple,8,256,Indigo,Intel
156555.0,4.2,Alienware,8,1024,Indigo,Intel
129990.0,4.1,HP,8,1024,Silver,Intel
63990.0,4.1,ASUS,16,512,Silver,Snapdragon
81490.0,5.0,DELL,16,721,sky-blue,Intel
85990.0,4.0,HP,16,1024,Silver,Snapdragon
132990.0,4.0,Lenovo,6,512,Grey,AMD
65990.0,3.9,HP,16,1024,Silver,Intel
54990.0,4.4,Lenovo,8,512,Grey,AMD
194990.0,4.8,Apple,24,1024,sky-blue,Intel
62500.0,4.1,HP,15,512,Silver,Intel
84990.0,2.8,Acer,32,1024,sky-blue,AMD
70990.0,3.6,Lenovo,16,512,Grey,Intel
66690.0,5.0,DELL,16,512,sky-blue,Intel
49990.0,4.0,Acer,8,512,Gray,Intel
54990.0,3.0,HP,8,512,Silver,AMD
61200.0,4.2,Lenovo,16,512,Grey,AMD
42990.0,4.5,ASUS,8,128,sky-blue,MediaTek
54990.0,4.101663201663202,ASUS,8,512,Black,AMD
79609.0,4.101663201663202,Lenovo,5,512,Grey,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
64390.0,3.8,Acer,15,512,Silver,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
42999.0,3.8,HP,15,256,Black,AMD
54990.0,4.101663201663202,ASUS,8,512,Black,AMD
54990.0,4.4,Lenovo,8,512,Grey,AMD
73990.0,4.8,Apple,8,256,Indigo,Intel
48990.0,4.0,Acer,8,256,Grey,Intel
42990.0,4.5,ASUS,8,128,sky-blue,MediaTek
68490.0,3.9,Lenovo,16,512,Grey,AMD
73990.0,4.7,Apple,8,256,Silver,Intel
79609.0,4.101663201663202,Lenovo,5,512,Grey,Intel
184990.0,4.4,ASUS,8,721,Gray,AMD
79990.0,4.1,HP,16,512,Silver,Snapdragon
84990.0,2.8,Lenovo,16,512,Grey,Intel
63990.0,3.6,HP,16,512,Silver,Intel
24900.0,4.101663201663202,Tech,4,128,sky-blue,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
249990.0,3.7,ASUS,8,721,Gray,Intel
57250.0,3.9,Lenovo,16,512,Grey,AMD
91700.0,3.3,Lenovo,16,721,sky-blue,AMD
85890.0,4.5,DELL,16,512,Silver,Intel
99990.0,4.0,HP,6,512,Silver,Intel
68480.0,5.0,HP,16,512,Silver,Intel
59990.0,4.1,Acer,15,721,Gray,AMD
69990.0,3.2,HP,16,512,Silver,Snapdragon
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
57250.0,3.9,Lenovo,16,512,Grey,AMD
59800.0,4.101663201663202,Lenovo,8,512,Grey,Intel
64390.0,3.8,Acer,15,512,Silver,Intel
73990.0,4.8,Apple,8,256,Indigo,Intel
69990.0,4.0,HP,16,512,Silver,Intel
68480.0,5.0,HP,16,512,Silver,Intel
68490.0,3.9,Lenovo,16,512,Grey,AMD
54990.0,4.4,Lenovo,8,512,Grey,AMD
482490.0,5.0,Lenovo,24,1024,Black,Intel
82990.0,3.7,DELL,16,512,Silver,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
342490.0,4.5,Apple,24,1024,Silver,Intel
234454.0,4.101663201663202,HP,5,1024,sky-blue,Intel
166990.0,4.0,HP,8,1024,Black,Intel
43950.0,4.0,HP,8,256,Silver,AMD
57990.0,4.101663201663202,Lenovo,5,512,Grey,AMD
186990.0,4.101663201663202,HP,16,1024,Gray,Intel
89990.0,5.0,HP,4,512,Silver,Intel
41890.0,1.6,Acer,8,512,Black,AMD
54650.0,3.8,Acer,8,512,Silver,Intel
82990.0,3.8,HP,16,1024,Silver,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
85000.0,5.0,HP,15,512,Grey,Intel
319990.0,4.101663201663202,Alienware,32,1024,Indigo,Intel
68490.0,3.9,Lenovo,16,512,Grey,AMD
64390.0,3.8,Acer,15,512,Silver,Intel
53280.0,4.1,HP,15,512,Silver,AMD
82990.0,3.7,DELL,16,512,Silver,Intel
54990.0,4.4,Lenovo,8,512,Grey,AMD
73990.0,4.8,Apple,8,256,Indigo,Intel
68700.0,3.8,Lenovo,15,512,Grey,Intel
49400.0,4.0,Lenovo,8,512,Grey,AMD
73990.0,4.7,Apple,8,256,Silver,Intel
342490.0,4.5,Apple,24,1024,Silver,Intel
56500.0,3.8,DELL,16,512,Black,Intel
63990.0,4.101663201663202,HP,8,1024,Silver,Intel
52999.0,4.101663201663202,Lenovo,15,512,Grey,Intel
59990.0,3.4,DELL,16,512,Silver,AMD
55780.0,4.101663201663202,HP,16,512,Silver,AMD
55990.0,4.3,DELL,8,512,Black,Intel
334990.0,4.3,ASUS,128,1024,Black,AMD
126790.0,4.5,Lenovo,16,1024,Grey,Intel
41890.0,1.6,Acer,8,512,Black,AMD
69990.0,3.2,HP,16,512,Silver,Snapdragon
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
69990.0,3.9,Acer,15,512,Gray,Intel
290000.0,5.0,Lenovo,32,1024,Grey,Intel
75990.0,3.6,HP,16,512,Silver,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
68990.0,5.0,HP,15,512,Silver,Intel
194990.0,4.8,Apple,24,1024,Blue,Intel
64390.0,3.8,Acer,15,512,Silver,Intel
73990.0,4.8,Apple,8,256,Indigo,Intel
43490.0,3.0,HP,8,721,Silver,AMD
124900.0,5.0,Lenovo,16,512,Black,Intel
342490.0,4.5,Apple,24,1024,Silver,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
78100.0,4.5,Lenovo,16,512,Grey,Intel
165000.0,4.3,Lenovo,8,1024,Grey,Intel
89890.0,3.7,Lenovo,15,512,Grey,Intel
82990.0,3.8,HP,16,1024,Silver,Intel
141990.0,5.0,DELL,16,721,White,Intel
78990.0,5.0,HP,15,512,Silver,Intel
60650.0,4.0,ASUS,16,512,Black,AMD
87900.0,4.0,Acer,6,512,Gray,Intel
93990.0,4.0,HP,15,512,Silver,Intel
499990.0,4.4,Acer,7,721,Black,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
93990.0,5.0,HP,16,512,sky-blue,Intel
87900.0,4.0,Acer,6,512,Gray,Intel
75990.0,3.6,HP,16,512,Silver,Intel
64390.0,3.8,Acer,15,512,Silver,Intel
499990.0,4.4,Acer,7,721,Black,Intel
231490.0,4.0,Lenovo,8,1024,Black,Intel
68490.0,3.9,Lenovo,16,512,Grey,AMD
73990.0,4.7,Apple,8,256,Silver,Intel
124990.0,4.2,MSI,16,128,Black,Intel
342490.0,4.5,Apple,24,1024,Silver,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
81700.0,4.101663201663202,Lenovo,16,512,Grey,Intel
78990.0,5.0,HP,15,512,Silver,Intel
52990.0,2.8,Acer,8,500,Silver,Intel
81990.0,4.101663201663202,Acer,4,512,Gray,Intel
61500.0,3.2,HP,15,512,Silver,Intel
62500.0,1.0,HP,16,512,Silver,Intel
48999.0,2.9,Lenovo,8,512,Silver,Intel
269990.0,4.101663201663202,ASUS,32,721,Black,Snapdragon
69900.0,4.0,HP,15,512,Grey,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
69900.0,4.0,HP,15,512,Grey,Intel
142990.0,4.101663201663202,HP,16,1024,Silver,Intel
85990.0,4.0,HP,16,1024,Silver,Snapdragon
75990.0,3.6,HP,16,512,Silver,Intel
255990.0,4.101663201663202,HP,16,1024,sky-blue,Intel
55100.0,3.8,HP,8,512,Silver,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
342490.0,4.5,Apple,24,1024,Silver,Intel
71990.0,4.1,ASUS,16,512,Blue,AMD
200490.0,4.7,Apple,16,1024,Silver,Intel
83490.0,4.8,Apple,8,512,sky-blue,Intel
464490.0,5.0,Apple,36,2048,Black,Intel
57880.0,4.0,HP,16,512,Silver,AMD
155990.0,3.7,Lenovo,32,1024,Grey,Intel
44990.0,1.0,Acer,8,512,Gray,AMD
54891.0,3.8,DELL,15,512,Blue,Intel
513990.0,2.4,Apple,36,2048,Black,Intel
185490.0,3.5,Lenovo,8,1024,Black,AMD
69990.0,4.4,Samsung,16,512,Silver,Intel
75990.0,3.6,HP,16,512,Silver,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
342490.0,4.6,Apple,24,2048,Silver,Intel
45999.0,3.9,Lenovo,8,721,Silver,AMD
72365.0,4.0,Lenovo,16,512,Grey,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
68390.0,3.6,HP,15,512,Silver,Intel
182990.0,3.6,HP,8,1024,Black,Intel
68490.0,3.9,Lenovo,16,512,Grey,AMD
342490.0,4.5,Apple,24,1024,Silver,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
64390.0,3.8,Acer,15,512,Silver,Intel
44680.0,2.9,Acer,15,512,Grey,AMD
70849.0,4.4,Lenovo,16,512,Grey,Intel
94990.0,2.0,Lenovo,16,512,Grey,Intel
175000.0,3.9,Lenovo,16,1024,Grey,Intel
51990.0,3.8,MSI,16,721,Black,Intel
91289.0,3.4,HP,4,1024,Silver,Intel
110990.0,4.101663201663202,HP,16,512,Silver,Intel
239990.0,3.1,ASUS,32,1024,White,Intel
156555.0,4.2,Alienware,8,1024,Indigo,Intel
164990.0,3.0,HP,16,512,Silver,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
72365.0,4.0,Lenovo,16,512,Grey,Intel
44680.0,2.9,Acer,15,512,Grey,AMD
69990.0,3.2,HP,16,512,Silver,Snapdragon
73990.0,4.8,Apple,8,256,sky-blue,Intel
68390.0,3.6,HP,15,512,Silver,Intel
124790.0,3.7,Lenovo,16,512,Grey,Intel
342490.0,4.5,Apple,24,1024,Silver,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
175000.0,3.9,Lenovo,16,1024,Grey,Intel
134990.0,5.0,Microsoft,16,256,sky-blue,Snapdragon
73490.0,2.5,DELL,8,512,Black,Intel
156555.0,4.2,Alienware,8,1024,Indigo,Intel
159990.0,3.6,MSI,16,721,Black,Intel
72900.0,4.0,Lenovo,16,512,Grey,Intel
60990.0,4.101663201663202,ASUS,16,512,Silver,AMD
99990.0,4.101663201663202,Lenovo,16,512,Black,AMD
114990.0,4.3,HP,16,1024,Blue,Snapdragon
51990.0,3.8,MSI,16,721,Black,Intel
239990.0,3.1,ASUS,32,1024,White,Intel
91289.0,3.4,HP,4,1024,Silver,Intel
156555.0,4.2,Alienware,8,1024,Indigo,Intel
70849.0,4.4,Lenovo,16,512,Grey,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
136990.0,5.0,Lenovo,16,512,Grey,Intel
48990.0,5.0,Acer,8,512,sky-blue,AMD
69990.0,3.2,HP,16,512,Silver,Snapdragon
342490.0,4.5,Apple,24,1024,Silver,Intel
63425.0,3.5,DELL,5,512,Blue,Intel
162990.0,3.4,Microsoft,16,512,sky-blue,Snapdragon
200490.0,4.7,Apple,16,1024,Silver,Intel
83490.0,4.8,Apple,8,512,sky-blue,Intel
174990.0,3.9,MSI,16,721,Black,Intel
49999.0,4.101663201663202,Acer,16,512,sky-blue,AMD
74990.0,4.7,Acer,15,512,Silver,Intel
58990.0,3.0,ASUS,8,512,Silver,Intel
79990.0,2.9,MSI,16,721,Gray,AMD
66959.0,3.2,HP,5,512,Silver,AMD
85000.0,3.7,HP,15,512,Silver,Intel
58990.0,5.0,HP,5,512,Silver,AMD
209780.0,5.0,ASUS,32,1024,Gray,AMD
59990.0,3.9,Acer,16,721,Silver,AMD
58700.0,4.101663201663202,Lenovo,8,512,Grey,Intel
79990.0,4.101663201663202,ASUS,16,512,Silver,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
209780.0,5.0,ASUS,32,1024,Gray,AMD
79990.0,4.101663201663202,ASUS,16,512,Silver,Intel
342490.0,4.5,Apple,24,1024,Silver,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
54500.0,4.2,HP,8,512,Grey,Intel
78000.0,4.101663201663202,HP,16,1024,Silver,AMD
83490.0,4.8,Apple,8,512,sky-blue,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
66999.0,4.2,Lenovo,16,512,Grey,AMD
69990.0,2.7,HP,16,512,Silver,Intel
69990.0,4.0,HP,16,512,Silver,AMD
58990.0,5.0,ASUS,8,512,Black,AMD
86990.0,4.0,Lenovo,16,1024,Grey,Intel
85024.0,4.0,HP,16,512,Silver,Intel
62850.0,4.0,ASUS,16,512,Blue,Intel
159990.0,4.101663201663202,Lenovo,32,1024,sky-blue,Intel
158990.0,3.6,Lenovo,8,1024,Grey,Intel
89900.0,3.4,HP,16,512,Silver,Intel
72600.0,4.2,Lenovo,16,512,Grey,Intel
72900.0,3.9,HP,16,512,Silver,AMD
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
72900.0,3.9,HP,16,512,Silver,AMD
72600.0,4.2,Lenovo,16,512,Grey,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
589990.0,4.3,Apple,48,2048,Black,Intel
72900.0,4.0,Lenovo,16,512,Grey,Intel
86990.0,4.5,HP,15,721,sky-blue,Intel
75990.0,3.6,HP,16,512,Silver,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
134990.0,5.0,Microsoft,16,256,sky-blue,Snapdragon
249990.0,4.101663201663202,HP,32,1024,Silver,Intel
83490.0,4.8,Apple,8,512,sky-blue,Intel
94900.0,4.101663201663202,HP,4,512,Blue,Intel
103990.0,5.0,DELL,16,512,Silver,Intel
60990.0,4.101663201663202,ASUS,16,512,Silver,AMD
52680.0,3.7,DELL,8,512,Blue,Intel
215990.0,3.6,Lenovo,8,1024,Grey,Intel
193990.0,4.101663201663202,Lenovo,32,1024,Grey,Intel
82990.0,3.9,Lenovo,16,1024,Grey,Intel
114990.0,4.101663201663202,HP,6,512,Silver,Intel
94990.0,4.0,HP,16,512,Blue,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
199990.0,4.5,Lenovo,32,1024,sky-blue,Intel
56999.0,4.1,Lenovo,8,512,Grey,Intel
342490.0,4.5,Apple,24,1024,Silver,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
82990.0,3.9,Lenovo,16,1024,Grey,Intel
215990.0,3.6,Lenovo,8,1024,Grey,Intel
83490.0,4.8,Apple,8,512,sky-blue,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
193990.0,4.101663201663202,Lenovo,32,1024,Grey,Intel
94990.0,4.0,HP,16,512,Blue,Intel
445000.0,3.2,MSI,64,721,Black,Intel
118990.0,4.101663201663202,Lenovo,16,512,Grey,Intel
174500.0,4.9,Lenovo,8,1024,Grey,AMD
999990.0,1.0,Alienware,16,2048,sky-blue,Intel
58990.0,4.101663201663202,ASUS,8,512,Blue,Intel
58990.0,3.0,ASUS,8,512,Silver,Intel
63990.0,4.0,HP,8,512,Blue,Intel
136990.0,4.101663201663202,ASUS,16,721,Gray,Intel
529990.0,5.0,ASUS,24,2048,Black,AMD
60990.0,4.101663201663202,Lenovo,8,512,Grey,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
53780.0,3.2,HP,15,512,Silver,AMD
88990.0,4.0,HP,16,512,Silver,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
342490.0,4.5,Apple,24,1024,Silver,Intel
105000.0,5.0,MSI,16,721,Grey,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
83490.0,4.8,Apple,8,512,sky-blue,Intel
19990.0,5.0,Acer,4,721,Black,MediaTek
61490.0,5.0,HP,15,512,Silver,Intel
48990.0,4.0,Lenovo,8,512,Silver,AMD
273490.0,5.0,Lenovo,8,1024,White,Intel
91990.0,5.0,HP,15,512,Silver,Intel
349990.0,4.101663201663202,DELL,64,2048,sky-blue,Intel
50999.0,3.4,Acer,8,512,Black,AMD
98800.0,4.101663201663202,HP,6,512,Blue,AMD
68490.0,3.9,Lenovo,16,512,Grey,AMD
79932.0,4.101663201663202,HP,15,721,sky-blue,Intel
44604.0,1.0,HP,8,256,sky-blue,AMD
58600.0,4.4,Lenovo,15,512,Grey,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
75990.0,3.6,HP,16,512,Silver,Intel
84140.0,4.101663201663202,HP,15,512,Silver,Intel
51100.0,3.4,DELL,5,512,Black,AMD
73990.0,4.7,Apple,8,256,Silver,Intel
73990.0,4.8,Apple,8,256,Indigo,Intel
50490.0,4.101663201663202,Acer,8,721,Black,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
342490.0,4.5,Apple,24,1024,Silver,Intel
44999.0,5.0,Acer,8,512,sky-blue,AMD
53200.0,3.1,HP,5,512,Silver,AMD
200490.0,4.7,Apple,16,1024,Silver,Intel
101990.0,4.101663201663202,ASUS,16,721,sky-blue,Intel
69999.0,4.1,Lenovo,16,1024,Grey,Intel
65990.0,3.0,HP,16,721,Silver,Intel
9999.0,2.8,JioBook,4,721,Blue,MediaTek
56000.0,4.2,HP,8,512,Silver,Intel
103990.0,4.5,Lenovo,16,1024,Grey,Intel
81490.0,5.0,DELL,16,721,sky-blue,Intel
82970.0,4.0,Lenovo,16,512,sky-blue,AMD
64810.0,4.7,DELL,8,721,sky-blue,Intel
108990.0,4.101663201663202,HP,6,512,Silver,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
108990.0,4.101663201663202,HP,6,512,Silver,Intel
51990.0,3.3,Acer,16,512,Gray,AMD
73990.0,4.8,Apple,8,256,Indigo,Intel
342490.0,4.5,Apple,24,1024,Silver,Intel
68990.0,3.6,HP,16,512,Silver,Intel
75990.0,3.6,HP,16,512,Silver,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
67000.0,4.4,Lenovo,15,512,Grey,Snapdragon
64390.0,3.8,Acer,15,512,Silver,Intel
40999.0,4.101663201663202,Acer,8,721,Gray,AMD
47999.0,3.9,HP,5,512,Silver,AMD
83400.0,4.1,Lenovo,16,512,Grey,Intel
79790.0,2.5,DELL,16,1024,Silver,Intel
65999.0,4.101663201663202,Acer,8,512,sky-blue,Intel
42999.0,3.1,HP,15,256,Black,AMD
71990.0,4.5,ASUS,16,1024,Blue,Intel
115990.0,3.6,HP,16,1024,Silver,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
194990.0,4.8,Apple,24,1024,sky-blue,Intel
65999.0,4.101663201663202,Acer,8,512,sky-blue,Intel
42999.0,3.1,HP,15,256,Black,AMD
73990.0,4.8,Apple,8,256,Indigo,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
68490.0,3.9,Lenovo,16,512,Grey,AMD
513990.0,2.4,Apple,36,2048,Silver,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
82880.0,3.8,Lenovo,16,512,Grey,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
73990.0,4.7,Apple,8,256,Silver,Intel
73990.0,4.8,Apple,8,256,Indigo,Intel
342490.0,4.5,Apple,24,1024,Silver,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
73990.0,4.8,Apple,8,256,Indigo,Intel
342490.0,4.5,Apple,24,1024,Silver,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
75990.0,3.6,HP,16,512,Silver,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
342490.0,4.6,Apple,24,2048,Silver,Intel
172490.0,4.7,Apple,16,1024,Blue,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
73990.0,4.8,Apple,8,256,sky-blue,Intel
342490.0,4.5,Apple,24,1024,Silver,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
73990.0,4.8,Apple,8,256,Indigo,Intel
75990.0,3.6,HP,16,512,Silver,Intel
342490.0,4.5,Apple,24,1024,Silver,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
64390.0,3.8,Acer,15,512,Silver,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
75990.0,3.6,HP,16,512,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
73990.0,4.8,Apple,8,256,Indigo,Intel
53990.0,2.0,DELL,8,512,Black,Intel
75990.0,3.1,DELL,8,512,Silver,Intel
81490.0,5.0,DELL,16,721,sky-blue,Intel
62490.0,4.0,DELL,16,721,Black,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
75990.0,3.6,HP,16,512,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
73990.0,4.8,Apple,8,256,Indigo,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
62490.0,4.0,DELL,16,721,Black,Intel
81490.0,5.0,DELL,16,721,sky-blue,Intel
87990.0,4.1,DELL,16,512,Silver,Intel
53990.0,2.0,DELL,8,512,Black,Intel
75990.0,3.6,HP,16,512,Silver,Intel
73990.0,4.8,Apple,8,256,Indigo,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
73990.0,4.7,Apple,8,256,Silver,Intel
475490.0,5.0,Apple,36,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
589990.0,4.3,Apple,48,2048,Black,Intel
81490.0,5.0,DELL,16,721,sky-blue,Intel
87990.0,4.1,DELL,16,512,Silver,Intel
464490.0,5.0,Apple,36,2048,Black,Intel
73990.0,4.8,Apple,8,256,Indigo,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
75990.0,3.6,HP,16,512,Silver,Intel
589990.0,4.3,Apple,48,2048,Black,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
81490.0,5.0,DELL,16,721,sky-blue,Intel
200490.0,4.7,Apple,16,1024,Silver,Intel
342490.0,4.6,Apple,24,2048,Silver,Intel
194990.0,4.8,Apple,24,1024,sky-blue,Intel
200490.0,4.7,Apple,16,1024,sky-blue,Intel
75990.0,3.6,HP,16,512,Silver,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
73490.0,2.5,DELL,8,512,Black,Intel
