Product,Price,Rating,Brand,Ram(GB),Ssd_Storage(GB),Color,Processor
138,89990.0,5.0,HP,4,512,Silver,Intel
139,186990.0,4.087142857142857,HP,16,1024,Gray,Intel
140,57990.0,4.087142857142857,Lenovo,5,512,Grey,AMD
141,53280.0,4.1,HP,15,512,Silver,AMD
142,169890.0,3.6,Lenovo,16,1024,Grey,AMD
143,69990.0,4.0,HP,16,512,Silver,Intel
144,85000.0,5.0,HP,15,512,Grey,Intel
145,130671.38447319779,4.2,HP,6,512,Blue,AMD
146,68700.0,3.8,Lenovo,15,512,Grey,Intel
147,69990.0,3.2,HP,16,512,Silver,Snapdragon
148,342490.0,4.6,Apple,24,2048,Silver,Intel
149,194990.0,4.8,Apple,24,1024,sky-blue,Intel
150,62350.0,3.8,DELL,15,512,Blue,Intel
151,53280.0,4.1,HP,15,512,Silver,AMD
152,85990.0,3.3,HP,24,1024,Silver,Intel
153,68490.0,3.9,Lenovo,16,512,Grey,AMD
154,85000.0,5.0,HP,15,512,Grey,Intel
155,68700.0,3.8,Lenovo,15,512,Grey,Intel
156,156555.0,4.2,Alienware,8,1024,Indigo,Intel
157,81490.0,5.0,DELL,16,746,sky-blue,Intel
158,319990.0,4.087142857142857,Alienware,32,1024,Indigo,Intel
159,82990.0,3.7,DELL,16,512,Silver,Intel
160,73490.0,2.5,DELL,8,512,Black,Intel
161,64390.0,3.8,Acer,15,512,Silver,Intel
162,63990.0,4.087142857142857,HP,8,1024,Silver,Intel
163,49400.0,4.0,Lenovo,8,512,Grey,AMD
164,58990.0,3.8,DELL,16,512,Black,Intel
165,52999.0,4.087142857142857,Lenovo,15,512,Grey,Intel
166,59990.0,3.4,DELL,16,512,Silver,AMD
167,126790.0,4.5,Lenovo,16,1024,Grey,Intel
168,55780.0,4.087142857142857,HP,16,512,Silver,AMD
169,334990.0,4.3,ASUS,128,1024,Black,AMD
170,290000.0,5.0,Lenovo,32,1024,Grey,Intel
171,531490.0,4.5,Alienware,24,2048,sky-blue,Intel
172,69990.0,3.2,HP,16,512,Silver,Snapdragon
173,342490.0,4.6,Apple,24,2048,Silver,Intel
174,194990.0,4.8,Apple,24,1024,sky-blue,Intel
175,126790.0,4.5,Lenovo,16,1024,Grey,Intel
176,52999.0,4.087142857142857,Lenovo,15,512,Grey,Intel
177,156555.0,4.2,Alienware,8,1024,Indigo,Intel
178,73490.0,2.5,DELL,8,512,Black,Intel
179,59990.0,3.4,DELL,16,512,Silver,AMD
180,464490.0,5.0,Apple,36,2048,Black,Intel
181,81490.0,5.0,DELL,16,746,sky-blue,Intel
182,154700.0,4.0,Alienware,16,1024,Indigo,Intel
183,334990.0,4.3,ASUS,128,1024,Black,AMD
184,55780.0,4.087142857142857,HP,16,512,Silver,AMD
185,75990.0,3.1,DELL,8,512,Silver,Intel
186,73990.0,4.7,Apple,8,256,Silver,Intel
187,290000.0,5.0,Lenovo,32,1024,Grey,Intel
188,531490.0,4.5,Alienware,24,2048,sky-blue,Intel
189,513990.0,2.4,Apple,36,2048,Black,Intel
190,155990.0,3.7,Lenovo,32,1024,Grey,Intel
191,68990.0,5.0,HP,15,512,Silver,Intel
192,69990.0,3.9,Acer,15,512,Gray,Intel
193,124900.0,5.0,Lenovo,16,512,Black,Intel
194,44990.0,1.0,Acer,8,512,Gray,AMD
195,45999.0,3.9,Lenovo,8,746,Silver,AMD
196,165000.0,4.3,Lenovo,8,1024,Grey,Intel
197,69990.0,3.2,HP,16,512,Silver,Snapdragon
198,85990.0,4.0,HP,16,1024,Silver,Snapdragon
199,342490.0,4.6,Apple,24,2048,Silver,Intel
200,93990.0,5.0,HP,16,512,sky-blue,Intel
201,499990.0,4.4,Acer,7,746,Black,Intel
202,75990.0,3.6,HP,16,512,Silver,Intel
203,194990.0,4.8,Apple,24,1024,sky-blue,Intel
204,87900.0,4.0,Acer,6,512,Gray,Intel
206,64390.0,3.8,Acer,15,512,Silver,Intel
207,84990.0,2.8,Lenovo,16,512,Grey,Intel
208,124990.0,4.2,MSI,16,128,Black,Intel
209,81700.0,4.087142857142857,Lenovo,16,512,Grey,Intel
210,73990.0,4.7,Apple,8,256,Silver,Intel
211,342490.0,4.5,Apple,24,1024,Silver,Intel
212,231490.0,4.0,Lenovo,8,1024,Black,Intel
213,52990.0,2.8,Acer,8,500,Silver,Intel
214,78990.0,5.0,HP,15,512,Silver,Intel
215,81990.0,4.087142857142857,Acer,4,512,Gray,Intel
216,61500.0,3.2,HP,15,512,Silver,Intel
218,62500.0,1.0,HP,16,512,Silver,Intel
219,48999.0,2.9,Lenovo,8,512,Silver,Intel
220,69900.0,4.0,HP,15,512,Grey,Intel
221,269990.0,4.087142857142857,ASUS,32,746,Black,Snapdragon
222,69990.0,3.2,HP,16,512,Silver,Snapdragon
223,342490.0,4.6,Apple,24,2048,Silver,Intel
224,194990.0,4.8,Apple,24,1024,sky-blue,Intel
225,255990.0,4.087142857142857,HP,16,1024,sky-blue,Intel
226,464490.0,5.0,Apple,36,2048,Black,Intel
227,73990.0,4.7,Apple,8,256,Silver,Intel
228,342490.0,4.5,Apple,24,1024,Silver,Intel
229,71990.0,4.1,ASUS,16,512,Blue,AMD
231,200490.0,4.7,Apple,16,1024,Silver,Intel
232,83490.0,4.8,Apple,8,512,sky-blue,Intel
234,53999.0,3.7,Acer,16,512,Black,AMD
235,64390.0,3.8,Acer,15,512,Silver,Intel
236,44990.0,1.0,Acer,8,512,Gray,AMD
237,513990.0,2.4,Apple,36,2048,Black,Intel
238,54891.0,3.8,DELL,15,512,Blue,Intel
239,45999.0,3.9,Lenovo,8,746,Silver,AMD
240,69990.0,4.4,Samsung,16,512,Silver,Intel
241,185490.0,3.5,Lenovo,8,1024,Black,AMD
242,155990.0,3.7,Lenovo,32,1024,Grey,Intel
243,72365.0,4.0,Lenovo,16,512,Grey,Intel
244,68480.0,3.8,HP,16,512,Silver,Intel
246,69990.0,3.2,HP,16,512,Silver,Snapdragon
247,342490.0,4.6,Apple,24,2048,Silver,Intel
248,194990.0,4.8,Apple,24,1024,sky-blue,Intel
249,57880.0,4.0,HP,16,512,Silver,AMD
250,68480.0,3.8,HP,16,512,Silver,Intel
251,75990.0,3.6,HP,16,512,Silver,Intel
252,73990.0,4.7,Apple,8,256,Silver,Intel
253,94990.0,2.0,Lenovo,16,512,Grey,Intel
254,164990.0,3.0,HP,16,512,Silver,Intel
255,342490.0,4.5,Apple,24,1024,Silver,Intel
256,200490.0,4.7,Apple,16,1024,Silver,Intel
257,141499.0,4.4,Lenovo,32,1024,Grey,Intel
258,156555.0,4.2,Alienware,8,1024,Indigo,Intel
259,64390.0,3.8,Acer,15,512,Silver,Intel
260,83490.0,4.8,Apple,8,512,sky-blue,Intel
261,51990.0,3.8,MSI,16,746,Black,Intel
262,44680.0,2.9,Acer,15,512,Grey,AMD
263,110990.0,4.087142857142857,HP,16,512,Silver,Intel
264,91289.0,3.4,HP,4,1024,Silver,Intel
265,175000.0,3.9,Lenovo,16,1024,Grey,Intel
266,68390.0,3.6,HP,15,512,Silver,Intel
267,70849.0,4.4,Lenovo,16,512,Grey,Intel
268,59990.0,4.2,Acer,16,746,Gray,AMD
269,239990.0,3.1,ASUS,32,1024,White,Intel
270,59950.0,5.0,Lenovo,8,512,Grey,Intel
271,342490.0,4.6,Apple,24,2048,Silver,Intel
272,194990.0,4.8,Apple,24,1024,sky-blue,Intel
273,200490.0,4.7,Apple,16,1024,sky-blue,Intel
274,239990.0,3.1,ASUS,32,1024,White,Intel
275,110990.0,4.087142857142857,HP,16,512,Silver,Intel
276,69990.0,3.2,HP,16,512,Silver,Snapdragon
277,73990.0,4.7,Apple,8,256,Silver,Intel
278,52990.0,4.3,Acer,15,746,Gray,Intel
279,47999.0,4.087142857142857,HP,5,512,Silver,AMD
280,73990.0,4.8,Apple,8,256,sky-blue,Intel
281,342490.0,4.5,Apple,24,1024,Silver,Intel
282,164990.0,3.0,HP,16,512,Silver,Intel
283,141499.0,4.4,Lenovo,32,1024,Grey,Intel
284,59950.0,5.0,Lenovo,8,512,Grey,Intel
285,219990.0,4.8,Lenovo,16,1024,Grey,Intel
286,69499.0,4.1,Samsung,16,512,Gray,Intel
287,54680.0,4.2,Lenovo,8,512,Grey,Intel
288,148000.0,4.1,HP,8,1024,Silver,Intel
289,49560.0,3.2,Lenovo,15,512,Grey,AMD
290,245000.0,4.087142857142857,Lenovo,32,1024,Black,Intel
291,119990.0,5.0,ASUS,4,512,Black,AMD
292,55990.0,4.3,ASUS,8,512,Silver,Intel
293,76890.0,3.0,HP,24,512,Silver,Intel
294,342490.0,4.6,Apple,24,2048,Silver,Intel
295,194990.0,4.8,Apple,24,1024,sky-blue,Intel
296,73990.0,4.7,Apple,8,256,Silver,Intel
297,54990.0,5.0,ASUS,8,512,Silver,AMD
298,76890.0,3.0,HP,24,512,Silver,Intel
299,69990.0,3.2,HP,16,512,Silver,Snapdragon
300,342490.0,4.5,Apple,24,1024,Silver,Intel
301,130671.38447319779,3.6,HP,16,512,Silver,Intel
302,119990.0,5.0,ASUS,4,512,Black,AMD
303,200490.0,4.7,Apple,16,1024,Silver,Intel
304,83490.0,4.8,Apple,8,512,sky-blue,Intel
305,85000.0,3.7,HP,15,512,Silver,Intel
306,63425.0,3.5,DELL,5,512,Blue,Intel
307,73490.0,2.5,DELL,8,512,Black,Intel
308,156555.0,4.2,Alienware,8,1024,Indigo,Intel
309,209780.0,5.0,ASUS,32,1024,Gray,AMD
310,79990.0,2.9,MSI,16,746,Gray,AMD
311,48990.0,5.0,Acer,8,512,sky-blue,AMD
312,58990.0,3.0,ASUS,8,512,Silver,Intel
313,74990.0,4.7,Acer,15,512,Silver,Intel
314,66919.0,3.2,HP,5,512,Silver,AMD
315,58700.0,4.087142857142857,Lenovo,8,512,Grey,Intel
316,59990.0,3.9,Acer,16,746,Silver,AMD
317,58990.0,5.0,HP,5,512,Silver,AMD
318,58990.0,5.0,ASUS,8,512,Black,AMD
319,464490.0,5.0,Apple,36,2048,Black,Intel
320,194990.0,4.8,Apple,24,1024,sky-blue,Intel
321,69990.0,3.2,HP,16,512,Silver,Snapdragon
322,59990.0,3.9,Acer,16,746,Silver,AMD
323,105540.0,3.4,DELL,6,512,Gray,Intel
324,75990.0,3.6,HP,16,512,Silver,Intel
325,73990.0,4.7,Apple,8,256,Silver,Intel
326,114990.0,4.087142857142857,HP,6,512,Silver,Intel
327,130671.38447319779,3.6,HP,16,512,Silver,Intel
328,589990.0,4.3,Apple,48,2048,Black,Intel
329,200490.0,4.7,Apple,16,1024,Silver,Intel
330,63425.0,3.5,DELL,5,512,Blue,Intel
331,85000.0,3.7,HP,15,512,Silver,Intel
332,83490.0,4.8,Apple,8,512,sky-blue,Intel
333,209780.0,5.0,ASUS,32,1024,Gray,AMD
334,79990.0,2.9,MSI,16,746,Gray,AMD
335,66919.0,3.2,HP,5,512,Silver,AMD
336,58990.0,5.0,HP,5,512,Silver,AMD
337,79932.0,4.087142857142857,HP,15,746,sky-blue,Intel
338,431990.0,2.6,ASUS,16,2048,Black,AMD
339,159990.0,4.087142857142857,Lenovo,32,1024,sky-blue,Intel
340,86990.0,4.0,Lenovo,16,1024,Grey,Intel
341,54500.0,4.2,HP,8,512,Grey,Intel
342,85024.0,4.0,HP,16,512,Silver,Intel
343,342490.0,4.6,Apple,24,2048,Silver,Intel
344,194990.0,4.8,Apple,24,1024,sky-blue,Intel
345,73990.0,4.7,Apple,8,256,Silver,Intel
346,72900.0,4.0,Lenovo,16,512,Grey,Intel
347,72600.0,4.2,Lenovo,16,512,Grey,Intel
348,69990.0,3.2,HP,16,512,Silver,Snapdragon
349,342490.0,4.5,Apple,24,1024,Silver,Intel
350,72900.0,3.9,HP,16,512,Silver,AMD
351,134990.0,5.0,Microsoft,16,256,sky-blue,Snapdragon
352,200490.0,4.7,Apple,16,1024,Silver,Intel
353,83490.0,4.8,Apple,8,512,sky-blue,Intel
354,94900.0,4.087142857142857,HP,4,512,Blue,Intel
355,86990.0,4.5,HP,15,746,sky-blue,Intel
356,249990.0,4.087142857142857,HP,32,1024,Silver,Intel
357,130671.38447319779,4.2,Lenovo,8,1024,Grey,Intel
358,103990.0,5.0,DELL,16,512,Silver,Intel
359,60990.0,4.087142857142857,ASUS,16,512,Silver,AMD
360,52680.0,3.7,DELL,8,512,Blue,Intel
361,215990.0,3.6,Lenovo,8,1024,Grey,Intel
362,193990.0,4.087142857142857,Lenovo,32,1024,Grey,Intel
363,82990.0,3.9,Lenovo,16,1024,Grey,Intel
364,114990.0,4.087142857142857,HP,6,512,Silver,Intel
365,94990.0,4.0,HP,16,512,Blue,Intel
366,342490.0,4.6,Apple,24,2048,Silver,Intel
367,172490.0,4.7,Apple,16,1024,Blue,Intel
368,73990.0,4.7,Apple,8,256,Silver,Intel
369,193990.0,4.087142857142857,Lenovo,32,1024,Grey,Intel
370,82990.0,3.9,Lenovo,16,1024,Grey,Intel
371,589990.0,4.3,Apple,48,2048,Black,Intel
372,73990.0,4.8,Apple,8,256,Indigo,Intel
373,215990.0,3.6,Lenovo,8,1024,Grey,Intel
374,94990.0,4.0,HP,16,512,Blue,Intel
375,200490.0,4.7,Apple,16,1024,Silver,Intel
376,69990.0,3.2,HP,16,512,Silver,Snapdragon
377,118990.0,4.087142857142857,Lenovo,16,512,Grey,Intel
378,999990.0,5.0,Alienware,16,2048,sky-blue,Intel
379,56999.0,4.1,Lenovo,8,512,Grey,Intel
380,174500.0,4.9,Lenovo,8,1024,Grey,AMD
381,349990.0,4.087142857142857,DELL,64,2048,sky-blue,Intel
382,999990.0,1.0,Alienware,16,2048,sky-blue,Intel
383,79932.0,4.087142857142857,HP,15,746,sky-blue,Intel
384,46590.0,3.9,Acer,15,512,Gray,AMD
385,89900.0,3.4,HP,16,512,Silver,Intel
386,60990.0,4.087142857142857,Lenovo,8,512,Grey,Intel
387,28990.0,4.3,ASUS,4,64,Grey,MediaTek
389,342490.0,4.6,Apple,24,2048,Silver,Intel
390,194990.0,4.8,Apple,24,1024,sky-blue,Intel
391,73990.0,4.7,Apple,8,256,Silver,Intel
392,136990.0,4.087142857142857,ASUS,16,746,Gray,Intel
393,50999.0,3.4,Acer,8,512,Black,AMD
394,69990.0,3.2,HP,16,512,Silver,Snapdragon
395,342490.0,4.5,Apple,24,1024,Silver,Intel
396,59990.0,3.4,DELL,16,512,Silver,AMD
397,58600.0,4.4,Lenovo,15,512,Grey,Intel
398,200490.0,4.7,Apple,16,1024,Silver,Intel
399,83490.0,4.8,Apple,8,512,sky-blue,Intel
402,63990.0,4.0,HP,8,512,Blue,Intel
403,98700.0,4.087142857142857,HP,6,512,Blue,AMD
404,68490.0,3.9,Lenovo,16,512,Grey,AMD
405,9999.0,2.8,JioBook,4,746,Blue,MediaTek
406,60999.0,3.0,HP,15,512,Silver,Intel
407,105000.0,5.0,MSI,16,746,Grey,Intel
408,84140.0,4.087142857142857,HP,15,512,Silver,Intel
409,64810.0,4.7,DELL,8,746,sky-blue,Intel
410,75990.0,3.6,HP,16,512,Silver,Intel
411,81490.0,5.0,DELL,16,746,sky-blue,Intel
412,342490.0,4.6,Apple,24,2048,Silver,Intel
413,194990.0,4.8,Apple,24,1024,sky-blue,Intel
414,73990.0,4.7,Apple,8,256,Silver,Intel
415,58600.0,4.4,Lenovo,15,512,Grey,Intel
416,136990.0,4.4,HP,8,1024,Black,AMD
417,73990.0,4.8,Apple,8,256,Indigo,Intel
418,69990.0,3.2,HP,16,512,Silver,Snapdragon
419,84140.0,4.087142857142857,HP,15,512,Silver,Intel
420,51100.0,3.4,DELL,5,512,Black,AMD
421,342490.0,4.5,Apple,24,1024,Silver,Intel
422,200490.0,4.7,Apple,16,1024,Silver,Intel
424,50490.0,4.087142857142857,Acer,8,746,Black,Intel
425,44999.0,5.0,Acer,8,512,sky-blue,AMD
426,53200.0,3.1,HP,5,512,Silver,AMD
427,101990.0,4.087142857142857,ASUS,16,746,sky-blue,Intel
428,69999.0,4.1,Lenovo,16,1024,Grey,Intel
429,65990.0,3.0,HP,16,746,Silver,Intel
430,9999.0,2.8,JioBook,4,746,Blue,MediaTek
431,56000.0,4.2,HP,8,512,Silver,Intel
432,103990.0,4.5,Lenovo,16,1024,Grey,Intel
433,81490.0,5.0,DELL,16,746,sky-blue,Intel
434,82970.0,4.0,Lenovo,16,512,sky-blue,AMD
435,342490.0,4.6,Apple,24,2048,Silver,Intel
436,194990.0,4.8,Apple,24,1024,sky-blue,Intel
437,73990.0,4.7,Apple,8,256,Silver,Intel
438,176990.0,3.7,Lenovo,8,1024,Grey,Intel
439,50490.0,4.087142857142857,Acer,8,746,Black,Intel
440,73990.0,4.8,Apple,8,256,Indigo,Intel
441,342490.0,4.5,Apple,24,1024,Silver,Intel
442,130671.38447319779,3.6,Lenovo,16,512,Grey,Intel
443,88990.0,4.0,HP,16,512,Silver,Intel
444,200490.0,4.7,Apple,16,1024,Silver,Intel
445,69990.0,3.2,HP,16,512,Silver,Snapdragon
446,44999.0,5.0,Acer,8,512,sky-blue,AMD
447,40999.0,4.087142857142857,Acer,8,746,Gray,AMD
448,51100.0,3.4,DELL,5,512,Black,AMD
449,83400.0,4.1,Lenovo,16,512,Grey,Intel
450,65990.0,3.0,HP,16,746,Silver,Intel
451,47999.0,3.9,HP,5,512,Silver,AMD
452,115990.0,3.6,HP,16,1024,Silver,Intel
453,79790.0,2.5,DELL,16,1024,Silver,Intel
454,108990.0,4.087142857142857,HP,6,512,Silver,Intel
455,69990.0,3.1,HP,16,512,sky-blue,Intel
457,41890.0,3.4,Acer,4,512,Silver,Intel
458,342490.0,4.6,Apple,24,2048,Silver,Intel
459,69990.0,3.2,HP,16,512,Silver,Snapdragon
460,194990.0,4.8,Apple,24,1024,sky-blue,Intel
461,47999.0,3.9,HP,5,512,Silver,AMD
462,115990.0,3.6,HP,16,1024,Silver,Intel
463,73990.0,4.8,Apple,8,256,Indigo,Intel
464,513990.0,2.4,Apple,36,2048,Silver,Intel
465,82880.0,3.8,Lenovo,16,512,Grey,Intel
466,73990.0,4.7,Apple,8,256,Silver,Intel
467,200490.0,4.7,Apple,16,1024,Silver,Intel
468,68490.0,3.9,Lenovo,16,512,Grey,AMD
469,69990.0,3.2,HP,16,512,Silver,Snapdragon
470,342490.0,4.6,Apple,24,2048,Silver,Intel
471,194990.0,4.8,Apple,24,1024,sky-blue,Intel
472,75990.0,3.6,HP,16,512,Silver,Intel
473,73990.0,4.7,Apple,8,256,Silver,Intel
474,73990.0,4.8,Apple,8,256,sky-blue,Intel
475,342490.0,4.5,Apple,24,1024,Silver,Intel
476,200490.0,4.7,Apple,16,1024,Silver,Intel
477,342490.0,4.6,Apple,24,2048,Silver,Intel
478,194990.0,4.8,Apple,24,1024,sky-blue,Intel
479,69990.0,3.2,HP,16,512,Silver,Snapdragon
480,75990.0,3.6,HP,16,512,Silver,Intel
481,73990.0,4.7,Apple,8,256,Silver,Intel
482,73990.0,4.8,Apple,8,256,Indigo,Intel
483,342490.0,4.5,Apple,24,1024,Silver,Intel
484,200490.0,4.7,Apple,16,1024,Silver,Intel
485,342490.0,4.6,Apple,24,2048,Silver,Intel
486,172490.0,4.7,Apple,16,1024,Blue,Intel
487,69990.0,3.2,HP,16,512,Silver,Snapdragon
488,75990.0,3.6,HP,16,512,Silver,Intel
489,73990.0,4.7,Apple,8,256,Silver,Intel
490,73990.0,4.8,Apple,8,256,Indigo,Intel
491,342490.0,4.5,Apple,24,1024,Silver,Intel
492,200490.0,4.7,Apple,16,1024,Silver,Intel
493,75990.0,3.6,HP,16,512,Silver,Intel
494,69990.0,3.2,HP,16,512,Silver,Snapdragon
495,342490.0,4.6,Apple,24,2048,Silver,Intel
496,73990.0,4.8,Apple,8,256,Indigo,Intel
497,194990.0,4.8,Apple,24,1024,sky-blue,Intel
498,73990.0,4.7,Apple,8,256,Silver,Intel
499,53990.0,2.0,DELL,8,512,Black,Intel
