,Price,Rating,Brand,RAM(GB),Storage(GB)
240,8749.0,1.6,PEACE,4,64
241,22838.5,4.3,VIVO,8,128
242,54999.0,4.3,Test,3,8
243,27999.0,4.0,Samsung,8,128
244,21895.0,4.2,realme,6,128
245,14999.0,4.2,OPPO,4,64
246,39999.0,4.4,Samsung,8,128
247,22838.5,4.2,Motorola,8,128
248,32700.0,4.3,Motorola,8,256
249,16999.0,4.1,Samsung,8,64
250,18990.0,4.1,POCO,6,128
251,22045.0,4.3,SAMSUNG,6,128
252,28900.0,4.2,realme,8,256
253,22838.5,4.2,vivo,8,128
254,22838.5,4.1,Samsung,6,128
255,37830.0,4.1,Nothing,8,256
256,17730.0,4.0,Motorola,4,128
257,31999.0,4.0,realme,8,128
258,109999.0,4.1,Google,16,128
259,56945.0,4.7,Motorola,12,256
260,18499.0,4.0,POCO,6,128
261,7999.0,4.1,PEACE,4,32
262,29499.0,4.3,Motorola,12,256
263,36248.0,4.1,Nothing,8,128
264,39999.0,4.4,Samsung,8,128
265,15999.0,3.7,Motorola,8,128
266,22838.5,4.1,Reno,8,128
267,26499.0,3.5,vivo,6,128
268,27260.0,4.1,vivo,6,128
269,32499.0,5.0,realme,12,256
270,24999.0,4.2,OPPO,8,128
